Ziffer;Name;abProzent;abPunkte;Anzahl
15;voll sehr gut;94,8 %;118,5;3
14;sehr gut;90,0 %;112,5;0
13;knapp sehr gut;84,8 %;106;1
12;voll gut;80,0 %;100;2
11;gut;74,8 %;93,5;3
10;knapp gut;70,0 %;87,5;1
09;voll befriedigend;24,8 %;31;17
08;befriedigend;60,0 %;75;0
07;knapp befriedigend;54,8 %;68,5;0
06;voll ausreichend;50,0 %;62,5;0
05;ausreichend;44,8 %;56;0
04;knapp ausreichend;38,8 %;48,5;0
03;voll mangelhaft;32,8 %;41;0
02;mangelhaft;26,8 %;33,5;0
01;knapp mangelhaft;20,0 %;25;0
00;ungenügend;0,0 %;0;1
